epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.786,1.31822,1.72228,1.28794,0.96301,0.93594,0.95693,0.61941,1.17611,0.86255,1.17803,0.0033315,0.0033315,0.0033315
2,553.935,1.35061,1.05662,1.30115,0.95942,0.91834,0.95556,0.63524,1.19978,0.70581,1.23926,0.00659886,0.00659886,0.00659886
3,818.772,1.40407,0.99671,1.363,0.95469,0.91525,0.95292,0.61552,1.25906,0.73668,1.29425,0.00980021,0.00980021,0.00980021
4,1083.36,1.4081,0.96226,1.39096,0.96002,0.91628,0.94926,0.6152,1.22739,0.70543,1.28235,0.009703,0.009703,0.009703
5,1347.98,1.36442,0.88577,1.36411,0.96336,0.92142,0.95123,0.63386,1.18589,0.6488,1.24062,0.009604,0.009604,0.009604
6,1612.55,1.33604,0.82724,1.34126,0.96963,0.93374,0.96054,0.63457,1.22662,0.59379,1.25882,0.009505,0.009505,0.009505
7,1877.33,1.30722,0.78368,1.31549,0.98089,0.94299,0.97315,0.66603,1.16812,0.54928,1.22128,0.009406,0.009406,0.009406
8,2141.58,1.29297,0.76317,1.30082,0.98075,0.9422,0.97318,0.67334,1.13747,0.54474,1.2013,0.009307,0.009307,0.009307
9,2405.05,1.27771,0.73818,1.2944,0.97518,0.94836,0.97227,0.67046,1.13991,0.53804,1.21439,0.009208,0.009208,0.009208
10,2668.7,1.26751,0.7274,1.2912,0.98194,0.94941,0.97541,0.68198,1.12227,0.51251,1.19206,0.009109,0.009109,0.009109
11,2932.7,1.25892,0.70267,1.28821,0.96793,0.95223,0.97499,0.6853,1.12797,0.50973,1.19324,0.00901,0.00901,0.00901
12,3196.57,1.24519,0.69591,1.27207,0.98408,0.9523,0.98079,0.68319,1.13827,0.49585,1.19719,0.008911,0.008911,0.008911
13,3460.55,1.23894,0.67879,1.26557,0.98212,0.95916,0.97888,0.68297,1.11869,0.48948,1.17981,0.008812,0.008812,0.008812
14,3725.48,1.22504,0.66603,1.26265,0.98462,0.95326,0.98231,0.69671,1.09726,0.47219,1.16983,0.008713,0.008713,0.008713
15,3990.17,1.22445,0.66072,1.26067,0.97577,0.95532,0.97806,0.68867,1.12498,0.47791,1.18063,0.008614,0.008614,0.008614
16,4254.55,1.21569,0.65681,1.255,0.98283,0.96097,0.98189,0.69803,1.10804,0.46322,1.17115,0.008515,0.008515,0.008515
17,4519.47,1.19397,0.6353,1.23931,0.98517,0.95531,0.98163,0.69774,1.10845,0.45543,1.16464,0.008416,0.008416,0.008416
18,4784.4,1.20759,0.6324,1.24583,0.98116,0.95326,0.97949,0.7023,1.08767,0.45602,1.15825,0.008317,0.008317,0.008317
19,5049.21,1.19725,0.62747,1.23597,0.9868,0.96013,0.98282,0.70046,1.09334,0.44294,1.1615,0.008218,0.008218,0.008218
20,5314.19,1.19117,0.62501,1.2357,0.98099,0.95432,0.98084,0.70717,1.07564,0.43929,1.14914,0.008119,0.008119,0.008119
21,5578.68,1.18618,0.61844,1.23181,0.98209,0.95737,0.98227,0.70316,1.08502,0.43793,1.15518,0.00802,0.00802,0.00802
22,5842.73,1.1745,0.60031,1.21851,0.98539,0.96405,0.98374,0.70597,1.0817,0.43182,1.14818,0.007921,0.007921,0.007921
23,6106.96,1.17163,0.604,1.22434,0.98032,0.96199,0.98163,0.69952,1.09004,0.43633,1.14995,0.007822,0.007822,0.007822
24,6371.59,1.16522,0.5936,1.21392,0.98641,0.95942,0.9825,0.71023,1.0704,0.42136,1.14594,0.007723,0.007723,0.007723
25,6636.7,1.16317,0.60052,1.21234,0.98265,0.96009,0.98186,0.71254,1.06908,0.42186,1.1393,0.007624,0.007624,0.007624
26,6901.23,1.1554,0.58521,1.20604,0.98981,0.96456,0.9844,0.71444,1.07015,0.40953,1.141,0.007525,0.007525,0.007525
27,7166.75,1.15636,0.57772,1.20336,0.98841,0.96331,0.98445,0.71884,1.06898,0.40796,1.14095,0.007426,0.007426,0.007426
28,7431.89,1.15354,0.57241,1.20348,0.98928,0.95994,0.98538,0.71649,1.06769,0.4119,1.14093,0.007327,0.007327,0.007327
29,7697.05,1.14762,0.56963,1.20451,0.98829,0.96097,0.983,0.71332,1.06245,0.40858,1.13608,0.007228,0.007228,0.007228
30,7962.18,1.14715,0.56114,1.20133,0.98782,0.95994,0.98613,0.71116,1.07478,0.41438,1.14404,0.007129,0.007129,0.007129
31,8227.75,1.13821,0.56065,1.19341,0.99099,0.96009,0.98471,0.71608,1.06379,0.40238,1.13586,0.00703,0.00703,0.00703
32,8493.39,1.1361,0.55965,1.19468,0.98939,0.95821,0.98436,0.72074,1.0653,0.39574,1.13403,0.006931,0.006931,0.006931
33,8759.05,1.13199,0.55191,1.18318,0.98511,0.96199,0.98616,0.71215,1.07802,0.39612,1.14108,0.006832,0.006832,0.006832
34,9024.6,1.12391,0.54859,1.18339,0.9876,0.96148,0.98784,0.71704,1.07365,0.39862,1.13922,0.006733,0.006733,0.006733
35,9290.13,1.12101,0.54506,1.18661,0.98993,0.96405,0.98803,0.71665,1.07663,0.38724,1.14169,0.006634,0.006634,0.006634
36,9554.78,1.12408,0.54432,1.18111,0.9849,0.96456,0.9873,0.71563,1.06841,0.38373,1.13587,0.006535,0.006535,0.006535
37,9819.36,1.11993,0.53857,1.17807,0.98809,0.96148,0.9866,0.72217,1.05989,0.38208,1.13167,0.006436,0.006436,0.006436
38,10084.5,1.11321,0.53335,1.17699,0.98287,0.97269,0.98782,0.71986,1.06116,0.37969,1.13444,0.006337,0.006337,0.006337
39,10349.8,1.10555,0.53287,1.17495,0.98726,0.96456,0.9853,0.71239,1.07837,0.38393,1.14432,0.006238,0.006238,0.006238
40,10614.9,1.09872,0.52396,1.17307,0.98078,0.96954,0.98517,0.71804,1.06521,0.37953,1.13972,0.006139,0.006139,0.006139
41,10880.3,1.10485,0.52483,1.17136,0.98624,0.96559,0.98606,0.72002,1.06501,0.37769,1.13737,0.00604,0.00604,0.00604
42,11146,1.10036,0.52329,1.16544,0.98488,0.97032,0.98656,0.72065,1.06595,0.3741,1.13761,0.005941,0.005941,0.005941
43,11411.8,1.09545,0.5186,1.16687,0.98611,0.96816,0.98797,0.71823,1.0738,0.3741,1.14035,0.005842,0.005842,0.005842
44,11677.7,1.09477,0.51792,1.16291,0.99,0.9665,0.98663,0.7197,1.07109,0.37095,1.13928,0.005743,0.005743,0.005743
45,11943.4,1.08796,0.51641,1.16233,0.9905,0.9661,0.98676,0.71835,1.0733,0.37098,1.14054,0.005644,0.005644,0.005644
46,12208.9,1.0907,0.51585,1.15901,0.98689,0.96658,0.98837,0.71792,1.07567,0.36901,1.14176,0.005545,0.005545,0.005545
47,12475.5,1.0781,0.50372,1.15691,0.98634,0.96447,0.98664,0.71775,1.07014,0.3705,1.13743,0.005446,0.005446,0.005446
