plate,owner,phone,class_vehicle,province,registration_date,id_card,type,time,violation_folder,plate_img
,Không xác định,,,,,,SAI LAN,18:31:00,violations\ID32_20260524_183100__SAILAN,violations\ID32_20260524_183100__SAILAN\plate_.jpg
,Không xác định,,,,,,SAI LAN + VUOT DEN DO,18:31:11,violations\ID43_20260524_183111_UNKNOWN_SAILAN_VUOTDENDO,
,Không xác định,,,,,,VUOT DEN DO,18:31:17,violations\ID5_20260524_183117__VUOTDENDO,violations\ID5_20260524_183117__VUOTDENDO\plate_.jpg
,Không xác định,,,,,,SAI LAN,18:31:21,violations\ID75_20260524_183121__SAILAN,violations\ID75_20260524_183121__SAILAN\plate_.jpg
,Không xác định,,,,,,SAI LAN,18:31:23,violations\ID82_20260524_183123__SAILAN,violations\ID82_20260524_183123__SAILAN\plate_.jpg
,Không xác định,,,,,,VUOT DEN DO,18:31:24,violations\ID7_20260524_183124_UNKNOWN_VUOTDENDO,
,Không xác định,,,,,,SAI LAN,18:31:26,violations\ID89_20260524_183126_UNKNOWN_SAILAN,
,Không xác định,,,,,,SAI LAN,18:31:33,violations\ID115_20260524_183133__SAILAN,violations\ID115_20260524_183133__SAILAN\plate_.jpg
,Không xác định,,,,,,SAI LAN,18:31:36,violations\ID88_20260524_183136_UNKNOWN_SAILAN,
,Không xác định,,,,,,VUOT DEN DO,19:33:25,violations\ID7_20260524_193325__VUOTDENDO,violations\ID7_20260524_193325__VUOTDENDO\plate_.jpg
,Không xác định,,,,,,SAI LAN,19:33:33,violations\ID32_20260524_193333__SAILAN,violations\ID32_20260524_193333__SAILAN\plate_.jpg
,Không xác định,,,,,,SAI LAN + VUOT DEN DO,19:33:38,violations\ID43_20260524_193338_UNKNOWN_SAILAN_VUOTDENDO,
BH,Không xác định,,,,,,VUOT DEN DO,19:33:38,violations\ID5_20260524_193338_BH_VUOTDENDO,violations\ID5_20260524_193338_BH_VUOTDENDO\plate_BH.jpg
,Không xác định,,,,,,SAI LAN,19:33:44,violations\ID75_20260524_193344_UNKNOWN_SAILAN,
,Không xác định,,,,,,SAI LAN,19:33:44,violations\ID79_20260524_193344__SAILAN,violations\ID79_20260524_193344__SAILAN\plate_.jpg
,Không xác định,,,,,,SAI LAN,19:33:45,violations\ID82_20260524_193345__SAILAN,violations\ID82_20260524_193345__SAILAN\plate_.jpg
,Không xác định,,,,,,SAI LAN,19:33:46,violations\ID89_20260524_193346_UNKNOWN_SAILAN,
,Không xác định,,,,,,SAI LAN,19:33:50,violations\ID115_20260524_193350__SAILAN,violations\ID115_20260524_193350__SAILAN\plate_.jpg
,Không xác định,,,,,,SAI LAN,19:33:51,violations\ID133_20260524_193350_UNKNOWN_SAILAN,
,Không xác định,,,,,,SAI LAN,19:33:51,violations\ID88_20260524_193351_UNKNOWN_SAILAN,
,Không xác định,,,,,,SAI LAN,19:38:17,violations\ID32_20260524_193817__SAILAN,violations\ID32_20260524_193817__SAILAN\plate_.jpg
,Không xác định,,,,,,SAI LAN + VUOT DEN DO,19:38:23,violations\ID43_20260524_193823_UNKNOWN_SAILAN_VUOTDENDO,
CJ,Không xác định,,,,,,VUOT DEN DO,19:38:24,violations\ID5_20260524_193824_CJ_VUOTDENDO,violations\ID5_20260524_193824_CJ_VUOTDENDO\plate_CJ.jpg
,Không xác định,,,,,,VUOT DEN DO,19:38:24,violations\ID7_20260524_193824__VUOTDENDO,violations\ID7_20260524_193824__VUOTDENDO\plate_.jpg
,Không xác định,,,,,,SAI LAN,19:38:27,violations\ID75_20260524_193827__SAILAN,violations\ID75_20260524_193827__SAILAN\plate_.jpg
,Không xác định,,,,,,SAI LAN,19:38:27,violations\ID79_20260524_193827__SAILAN,violations\ID79_20260524_193827__SAILAN\plate_.jpg
,Không xác định,,,,,,SAI LAN,19:38:28,violations\ID82_20260524_193828__SAILAN,violations\ID82_20260524_193828__SAILAN\plate_.jpg
,Không xác định,,,,,,SAI LAN,19:38:32,violations\ID89_20260524_193832_UNKNOWN_SAILAN,
,Không xác định,,,,,,SAI LAN,19:38:36,violations\ID115_20260524_193836__SAILAN,violations\ID115_20260524_193836__SAILAN\plate_.jpg
,Không xác định,,,,,,SAI LAN,19:38:37,violations\ID133_20260524_193837_UNKNOWN_SAILAN,
,Không xác định,,,,,,SAI LAN,19:38:38,violations\ID88_20260524_193838_UNKNOWN_SAILAN,
INAIJNRU,Không xác định,,,,,,NGUOC CHIEU,22:35:01,violations\ID1_20260524_223501_INAIJNRU_NGUOCCHIEU,violations\ID1_20260524_223501_INAIJNRU_NGUOCCHIEU\plate_INAIJNRU.jpg
LGV,Không xác định,,,,,,NGUOC CHIEU,22:35:01,violations\ID3_20260524_223501_LGV_NGUOCCHIEU,violations\ID3_20260524_223501_LGV_NGUOCCHIEU\plate_LGV.jpg
G50GJ,Không xác định,,,,,,NGUOC CHIEU,22:35:05,violations\ID2_20260524_223505_G50GJ_NGUOCCHIEU,violations\ID2_20260524_223505_G50GJ_NGUOCCHIEU\plate_G50GJ.jpg
,Không xác định,,,,,,NGUOC CHIEU,22:35:06,violations\ID6_20260524_223506_UNKNOWN_NGUOCCHIEU,
