epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,124.796,1.54413,3.15189,1.35812,0.67593,0.73734,0.77093,0.44002,1.39929,1.62251,1.3504,0.00166319,0.000554395,0.00166319,0.000554395,0.00166319,0.000554395,0.00166319,0.000554395
2,206.682,1.42324,1.70596,1.27826,0.76297,0.83228,0.85069,0.51597,1.33309,1.23417,1.2563,0.00329722,0.00109907,0.00329722,0.00109907,0.00329722,0.00109907,0.00329722,0.00109907
3,280.892,1.37806,1.4374,1.24545,0.81032,0.85053,0.88927,0.5319,1.33367,1.0946,1.2595,0.00489824,0.00163275,0.00489824,0.00163275,0.00489824,0.00163275,0.00489824,0.00163275
4,352.916,1.36109,1.33005,1.23275,0.83821,0.86423,0.8984,0.54005,1.35971,1.01912,1.26275,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,424.705,1.33602,1.23849,1.23814,0.87275,0.8223,0.90121,0.54543,1.37304,1.00615,1.30388,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,496.738,1.30114,1.13939,1.21159,0.85456,0.86234,0.91377,0.55391,1.36728,0.98035,1.28557,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,568.537,1.29326,1.0656,1.21843,0.86426,0.85918,0.90047,0.53947,1.35239,0.92586,1.30184,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,640.075,1.26545,1.02108,1.19801,0.84356,0.85285,0.90164,0.55114,1.33154,0.89819,1.2871,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,712.09,1.24446,0.97587,1.19358,0.80362,0.8481,0.88455,0.54445,1.33564,0.91525,1.28054,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,784.088,1.21538,0.91918,1.17346,0.86106,0.85376,0.90815,0.55734,1.36421,0.7985,1.30796,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,855.863,1.18737,0.88077,1.1636,0.85969,0.85785,0.9039,0.54752,1.34102,0.78877,1.31677,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,928.035,1.19726,0.86242,1.16825,0.86156,0.86234,0.9063,0.54101,1.39493,0.7837,1.34451,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,1000,1.16914,0.82914,1.16527,0.83743,0.85443,0.90203,0.54608,1.35917,0.79845,1.31845,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,1073.76,1.16765,0.80496,1.16046,0.85817,0.84177,0.89664,0.54408,1.37478,0.77337,1.33477,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,1146.49,1.14267,0.77484,1.15174,0.87051,0.84349,0.89405,0.54882,1.3332,0.78879,1.30521,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,1219.17,1.1225,0.75877,1.13614,0.82759,0.90091,0.92214,0.56854,1.34116,0.74786,1.29007,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,1292.12,1.12041,0.73647,1.13775,0.84395,0.86551,0.91147,0.55749,1.33505,0.75116,1.30195,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,1366.94,1.10166,0.72348,1.12169,0.82492,0.90665,0.91958,0.55664,1.36538,0.73665,1.32668,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,1440.77,1.09388,0.71333,1.1131,0.82756,0.90604,0.91334,0.55921,1.35071,0.72585,1.33272,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,1514.25,1.05727,0.68919,1.10504,0.85564,0.86392,0.91508,0.56415,1.32119,0.75836,1.30443,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,1587.84,1.06657,0.67801,1.10575,0.856,0.84968,0.89591,0.55282,1.37,0.77823,1.35806,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,1661.51,1.0423,0.65897,1.09623,0.85206,0.83951,0.9022,0.56064,1.33894,0.76995,1.32462,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,1735,1.02749,0.64953,1.09092,0.8609,0.82726,0.88637,0.54857,1.35278,0.78036,1.33368,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,1808.98,1.02013,0.63866,1.08888,0.85526,0.85491,0.89628,0.55971,1.36108,0.76803,1.36388,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,1881.72,1.01887,0.6308,1.07691,0.85899,0.8307,0.91052,0.55911,1.3819,0.78142,1.38748,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,1954.13,0.98739,0.61764,1.07222,0.85397,0.8588,0.90952,0.56193,1.36812,0.75329,1.37206,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,2026,0.97334,0.60678,1.0647,0.79993,0.88555,0.89276,0.55228,1.37383,0.78214,1.38397,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,2098.02,0.96588,0.59356,1.05839,0.82625,0.87494,0.91075,0.57065,1.35177,0.73333,1.36956,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,2169.91,0.96012,0.59299,1.0579,0.8585,0.84832,0.90709,0.56504,1.33929,0.75126,1.36525,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,2241.85,0.95267,0.58349,1.05425,0.83935,0.88849,0.92619,0.57503,1.36807,0.71981,1.36977,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,2313.8,0.94857,0.57165,1.04944,0.89838,0.82796,0.91272,0.57422,1.32817,0.74098,1.3519,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,2385.37,0.9353,0.56547,1.04612,0.88528,0.83309,0.91162,0.56563,1.36115,0.75313,1.37338,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,2457.13,0.91825,0.55323,1.0379,0.84859,0.85715,0.9149,0.57389,1.34985,0.76232,1.37971,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,2528.98,0.91218,0.55396,1.03253,0.87588,0.84595,0.91294,0.57554,1.35681,0.73003,1.38858,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,2600.63,0.90765,0.54583,1.0301,0.85748,0.87127,0.90811,0.57211,1.36,0.7425,1.37191,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,2672.65,0.89249,0.53498,1.02627,0.85645,0.85443,0.91158,0.57147,1.37164,0.7497,1.41115,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,2745.01,0.8973,0.53086,1.02623,0.84211,0.88214,0.91575,0.58101,1.35629,0.73946,1.37116,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,2819.02,0.89094,0.53242,1.02274,0.84542,0.85336,0.90982,0.5834,1.34035,0.76265,1.35924,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,2892.43,0.88022,0.52402,1.02586,0.8281,0.89384,0.92275,0.58469,1.34193,0.70957,1.39251,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,2965.3,0.87002,0.52303,1.01516,0.82727,0.88253,0.9136,0.58013,1.34393,0.76346,1.38015,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,3037.87,0.85285,0.51073,1.00765,0.84509,0.87685,0.91013,0.57561,1.34413,0.73433,1.3848,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,3110.21,0.83883,0.50002,1.00146,0.85186,0.85208,0.91222,0.58461,1.34592,0.74402,1.37946,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
43,3182.15,0.8386,0.49742,1.00124,0.85087,0.87153,0.91147,0.58152,1.35513,0.77367,1.40748,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
44,3254,0.83534,0.4975,0.99466,0.84811,0.86043,0.91335,0.57981,1.36401,0.76995,1.42335,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
45,3326.83,0.82577,0.48926,0.99464,0.84486,0.87178,0.90794,0.57289,1.36224,0.75756,1.4395,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
46,3401.29,0.81633,0.48453,0.9918,0.87951,0.82304,0.90176,0.57225,1.34968,0.7799,1.40297,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
47,3478.24,0.81926,0.48211,0.98592,0.85758,0.85601,0.90641,0.57443,1.33672,0.7763,1.40226,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
48,3558.3,0.81277,0.47729,0.98752,0.84216,0.86363,0.89906,0.5699,1.34563,0.77419,1.41373,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345
49,3638.37,0.7991,0.46864,0.98621,0.8609,0.86537,0.903,0.57513,1.33339,0.76675,1.39853,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
50,3718.31,0.79795,0.47026,0.97916,0.82573,0.88342,0.90424,0.57907,1.34584,0.75748,1.40992,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338
51,3797.88,0.77273,0.45827,0.97032,0.8949,0.84862,0.90194,0.57431,1.35108,0.75662,1.41979,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
52,3878.03,0.78294,0.46226,0.97328,0.87659,0.86073,0.9174,0.58552,1.3384,0.7402,1.42677,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332
53,3957.44,0.77532,0.45091,0.97126,0.87169,0.85386,0.90306,0.56778,1.33761,0.7664,1.39513,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
